subject_id	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol	SegmentedTotalIntracranialVol
sub-1023964	4615.6	818.8	14483.3	65181.8	6804.0	4537.6	6045.6	1876.3	708.6	1710.7	18217.5	4032.0	1500.5	248433.0	667.9	3593.7	0.0	0.0	4819.3	698.7	14176.1	63379.5	6832.3	4721.9	6040.3	1748.9	4063.8	1780.8	611.6	3453.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	824.5	545.2	445.6	408.7	783.5	1418168.0	1150402.0	285801.195562	286894.976143	572696.171705	193808.5	197398.5	391207.0	59815.0	763814.171705	1259178.0	991412.0	1463173.0	0.930026	0.95954	49.0	67.0	116.0	1524869.286237	0.0
sub-2741068	5709.4	517.3	14887.4	70318.8	7299.1	4603.8	5510.5	1746.0	689.0	1916.6	16972.0	4429.5	1665.4	278599.5	689.6	3802.4	0.0	0.0	4775.8	526.6	14959.7	69304.2	7145.2	4932.4	5563.8	1621.6	4309.4	1720.2	650.3	3675.0	0.0	0.0	0.0	108.5	0.0	0.0	0.0	0.0	0.0	0.0	876.6	497.2	683.2	489.9	1064.9	1530711.0	1232242.0	309353.857496	304820.450046	614174.307542	210470.5	211005.5	421476.0	61476.0	818308.307542	1358931.0	1060462.0	1609638.0	0.923141	0.97074	46.0	35.0	81.0	1658155.072914	0.0
sub-0010010	3494.2	682.8	14809.8	67180.4	8794.2	4621.4	6752.3	1998.7	857.5	2083.8	19484.2	5045.4	2011.3	276953.2	805.9	4214.8	0.0	0.0	3581.8	746.7	13954.0	62860.7	8422.7	4767.4	6714.6	1882.5	4892.6	2019.5	818.9	4225.7	0.0	0.0	0.0	15.4	0.0	0.0	0.0	0.0	0.0	0.0	874.8	463.4	748.8	901.4	683.5	1635447.0	1340866.0	327789.483735	323755.781514	651545.265249	249194.5	248249.5	497444.0	70125.0	854611.265249	1474631.0	1180050.0	1714352.0	0.896625	0.939885	46.0	35.0	81.0	1824002.376112	0.0
sub-2983819	4952.6	734.2	13113.1	50991.5	6958.0	4672.0	5983.2	1619.6	665.5	1731.9	18984.6	4398.5	1569.9	272126.2	730.1	3552.0	0.0	0.0	4351.6	724.4	13481.6	50924.7	6720.1	4995.9	6062.8	1664.6	4540.0	1654.2	703.2	3854.1	0.0	0.0	0.0	34.5	0.0	0.0	0.0	0.0	0.0	0.0	1155.1	665.8	939.6	615.3	1328.7	1414540.0	1125460.0	267687.136078	267828.828141	535515.964219	210340.0	211834.0	422174.0	61598.0	702933.964219	1283303.0	994223.0	1465557.0	0.930265	0.963816	27.0	28.0	55.0	1520578.234291	0.0
sub-0010043	6341.3	599.6	11873.3	58635.5	6158.3	3310.5	5672.6	1646.3	983.1	1485.7	13023.5	3721.2	1348.9	229750.1	526.3	3203.2	0.0	0.0	5194.3	698.0	13081.3	56835.2	5936.7	3214.6	5540.4	1504.7	3621.7	1351.4	567.0	3251.8	0.0	0.0	0.0	143.1	0.0	0.0	0.0	0.0	0.0	0.0	576.9	354.2	471.8	380.3	675.9	1174050.0	923022.0	225114.436207	222006.834057	447121.270264	155914.5	153504.5	309419.0	52114.0	616554.270264	1032608.0	781580.0	1261474.0	0.903485	0.970761	66.0	59.0	125.0	1299468.812469	0.0
sub-0010081	7774.0	501.5	14385.5	54261.8	7010.3	4106.5	5533.3	1708.0	1092.8	2994.7	20390.8	4379.0	1652.8	263221.8	617.4	4024.8	0.0	0.0	8212.6	545.9	14186.7	53675.8	6997.5	4188.9	5472.2	1584.6	4376.5	1812.2	588.5	3899.3	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	968.5	494.4	468.7	519.2	876.4	1372987.0	1084831.0	245873.865435	246279.533134	492153.398569	206055.5	205930.5	411986.0	59926.0	663939.398569	1233787.0	945631.0	1440502.0	0.926008	0.971544	30.0	27.0	57.0	1482693.87954	0.0
sub-0010075	3501.8	532.2	12647.4	57374.7	7929.2	4067.1	6022.9	1662.9	840.5	1785.4	18600.0	4539.5	1688.9	253475.3	711.4	3829.5	0.0	0.0	3205.5	526.5	13134.4	57454.5	7936.1	3997.6	6035.8	1640.2	4692.8	1779.0	702.9	4007.7	0.0	0.0	0.0	140.6	0.0	0.0	0.0	0.0	0.0	0.0	873.7	402.3	692.9	441.9	1034.3	1473198.0	1204306.0	286990.234261	293144.643608	580134.877869	223229.0	225218.0	448447.0	62960.0	761197.877869	1330055.0	1061163.0	1516144.0	0.923333	0.95025	62.0	51.0	113.0	1595521.029088	0.0
sub-0010072	2877.4	530.9	12526.0	54397.2	6767.2	4024.3	5727.9	1600.8	669.7	1258.8	15877.5	3918.8	1492.4	242137.1	695.0	3360.7	0.0	0.0	2829.5	504.6	12095.8	54925.8	6827.6	3971.1	5544.2	1472.1	4126.1	1871.1	759.9	3582.0	0.0	0.0	0.0	20.3	0.0	0.0	0.0	0.0	0.0	0.0	763.9	385.8	566.1	465.0	766.8	1317021.0	1060495.0	265456.514196	266591.435812	532047.950008	180307.0	180944.0	361251.0	57197.0	701976.950008	1180722.0	924196.0	1363579.0	0.915916	0.948294	70.0	67.0	137.0	1437928.227948	0.0
sub-6953386	4104.9	533.8	13475.4	60072.6	8957.1	4003.1	6535.4	1910.6	845.8	2452.9	21504.4	4381.1	1809.6	279887.7	682.2	4314.5	0.0	0.0	3812.9	675.6	13273.3	59179.6	8915.4	4213.9	6098.5	1797.7	4436.7	2000.8	681.4	4402.9	0.0	0.0	0.0	39.7	0.0	0.0	0.0	0.0	0.0	0.0	938.1	495.9	652.0	671.8	802.4	1610727.0	1306108.0	310586.283885	316383.41484	626969.698725	242758.0	244032.0	486790.0	67389.0	816907.698725	1462257.0	1157638.0	1659612.0	0.923038	0.951052	10.0	10.0	20.0	1745027.071629	0.0
sub-0010086	8243.3	764.6	17019.9	69355.0	7924.2	4718.4	7145.9	2225.0	912.1	2358.7	22576.1	4543.0	1690.9	249342.4	680.8	4535.9	0.0	0.0	6440.4	794.9	17065.5	66959.6	7801.5	4642.1	7106.7	2089.5	4426.4	1762.1	712.2	4514.6	0.0	0.0	0.0	3.9	0.0	0.0	0.0	0.0	0.0	0.0	927.2	608.2	890.6	526.1	1258.0	1490059.0	1216064.0	270746.759198	264477.875757	535224.634955	234003.5	233088.5	467092.0	68819.0	743489.634955	1317346.0	1043351.0	1561242.0	0.920673	0.964656	33.0	37.0	70.0	1618445.038774	0.0
sub-0021029	3993.9	596.0	12913.4	63695.9	7503.2	4784.1	6399.9	1903.4	630.2	1746.4	16024.6	4023.8	1615.6	247440.5	730.7	3570.8	0.0	0.0	3801.3	478.8	12208.1	55635.9	7156.6	4766.2	6150.6	1805.9	4217.6	1780.4	739.0	3686.0	0.0	0.0	0.0	5.7	0.0	0.0	0.0	0.0	0.0	0.0	875.8	350.1	684.3	458.1	998.8	1470859.0	1205309.0	293789.72149	295331.768049	589121.48954	218313.5	218356.5	436670.0	63159.0	774121.48954	1324324.0	1058774.0	1554748.0	0.913358	0.965451	43.0	45.0	88.0	1610385.680667	0.0
sub-0015027	7380.6	408.7	11874.2	54369.8	7764.0	3856.3	6423.0	1756.9	544.0	1557.2	20017.2	3838.0	1829.6	246797.5	781.1	4206.0	0.0	0.0	4899.2	433.6	12327.2	55833.3	6930.3	4001.9	6260.8	1676.3	4348.8	1848.1	761.8	4254.8	0.0	0.0	0.0	5.8	0.0	0.0	0.0	0.0	0.0	0.0	906.9	565.0	433.8	412.7	817.3	1369751.0	1093027.0	265094.260993	262670.250903	527764.511896	193256.5	189344.5	382601.0	62342.0	702970.511896	1233371.0	956647.0	1446111.0	0.942255	0.994783	7.0	12.0	19.0	1453695.183993	0.0
sub-8278680	4265.2	627.8	13237.3	57397.5	8371.7	4499.9	6662.1	2083.8	861.1	2434.2	20926.3	4277.9	1942.2	285515.4	738.5	4464.0	0.0	0.0	4292.4	913.9	13076.1	57189.0	8022.1	4687.0	6491.3	2020.5	4552.2	1795.8	689.5	4624.7	0.0	0.0	0.0	14.2	0.0	0.0	0.0	0.0	0.0	0.0	774.7	482.6	805.4	745.2	691.3	1558817.0	1251499.0	304609.894806	305409.348977	610019.243783	227307.5	226594.5	453902.0	67778.0	794732.243783	1416287.0	1108969.0	1647647.0	0.91621	0.968421	9.0	4.0	13.0	1701375.546748	0.0
sub-1771270	7434.9	525.7	14126.3	54917.7	6971.3	4277.8	5802.1	1755.7	708.3	2073.0	18304.5	4227.8	1875.9	217241.1	641.7	3735.5	0.0	0.0	6283.1	626.3	14373.8	57359.4	6920.1	4435.2	5943.5	1795.5	4468.6	1912.9	694.5	3770.9	0.0	0.0	0.0	187.6	0.0	0.0	0.0	0.0	0.0	0.0	815.3	502.5	705.3	721.1	790.4	1323055.0	1076727.0	247911.263576	251297.390696	499208.654272	200722.5	196752.5	397475.0	61052.0	675125.654272	1180546.0	934218.0	1400806.0	0.934566	0.989487	49.0	27.0	76.0	1415689.788946	0.0
sub-0021027	4062.9	511.7	12455.0	48582.7	7827.4	3481.9	5388.4	1700.7	732.2	2460.2	16295.4	4153.9	1653.3	293781.2	550.8	3563.5	0.0	0.0	3921.6	501.5	11944.0	48544.6	7554.2	3411.5	5264.9	1661.7	3912.7	1588.8	667.2	3508.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	783.1	402.4	610.6	645.6	698.9	1414504.0	1102722.0	266570.750585	269046.859922	535617.610507	207704.5	208276.5	415981.0	58413.0	694200.610507	1290673.0	978891.0	1456338.0	0.935645	0.963317	26.0	38.0	64.0	1511795.546128	0.0
sub-0010109	7810.4	648.8	15562.7	57482.0	7185.8	3381.3	6681.0	1865.6	767.6	2124.7	20268.6	4231.1	1686.0	270114.6	688.4	3798.6	0.0	0.0	13557.2	742.1	15068.9	56871.4	7095.9	3390.6	6541.2	1632.9	4243.9	1675.4	767.4	4009.0	0.0	0.0	0.0	7.1	0.0	0.0	0.0	0.0	0.0	0.0	999.3	424.3	523.2	409.1	960.9	1392182.0	1089593.0	249097.895424	250828.830887	499926.726312	202315.5	199604.5	401920.0	61128.0	678866.726312	1244635.0	942046.0	1456711.0	0.938107	0.98159	23.0	29.0	52.0	1484032.661677	0.0
sub-5302451	5056.8	512.6	12903.2	55881.0	9043.9	5747.0	7219.1	2095.1	653.4	2360.8	19886.9	4089.6	1697.1	272724.5	786.3	4163.2	0.0	0.0	5034.5	419.5	13658.9	55497.4	8709.4	5704.3	7149.7	1995.8	4156.7	1717.9	867.7	4266.1	0.0	0.0	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	1018.2	536.0	804.1	934.5	1011.9	1579650.0	1277949.0	306863.345033	306506.530067	613369.875099	238640.5	243682.5	482323.0	71521.0	799251.875099	1439536.0	1137835.0	1616844.0	0.929354	0.951236	17.0	21.0	38.0	1699729.632546	0.0
sub-3624598	4800.7	513.8	17491.2	62270.3	7699.8	4195.0	7028.3	2108.8	656.3	2981.8	22721.6	4398.3	1897.4	250485.4	734.3	4278.9	0.0	0.0	5137.8	489.8	16968.3	60563.0	6847.2	4160.4	6741.1	2128.8	4497.9	1935.9	856.8	4325.5	0.0	0.0	0.0	17.3	0.0	0.0	0.0	0.0	0.0	0.0	970.5	516.4	952.1	747.7	814.4	1469672.0	1195024.0	265219.548032	264904.688052	530124.236084	231393.0	230147.0	461540.0	65668.0	722129.236084	1309965.0	1035317.0	1584277.0	0.932845	1.005589	37.0	20.0	57.0	1575472.222988	0.0
sub-0016053	3433.6	467.1	15438.2	65491.1	9421.0	4924.3	7759.5	2083.9	709.4	1310.6	25128.4	5380.6	2359.5	259787.2	805.1	5064.5	0.0	0.0	4343.4	432.1	15329.4	67434.0	8811.5	5131.7	7581.3	2175.6	4915.0	2008.0	901.5	4817.5	0.0	0.0	0.0	7.3	0.0	0.0	0.0	0.0	0.0	0.0	768.0	439.2	629.3	674.5	692.3	1558483.0	1275969.0	302659.699231	306655.77102	609315.470251	224067.5	222325.5	446393.0	75914.0	821726.470251	1392361.0	1109847.0	1625892.0	0.914223	0.953766	34.0	36.0	70.0	1704708.253496	0.0
sub-0021042	3299.5	444.6	11822.3	51415.2	6025.0	3870.3	5450.3	1668.8	687.4	1334.9	15526.2	3978.6	1604.3	234352.7	587.4	3212.9	0.0	0.0	3635.4	431.0	11411.8	52662.6	6192.4	3722.2	5413.9	1569.5	4010.7	1650.0	649.6	3096.0	0.0	0.0	0.0	72.3	0.0	0.0	0.0	0.0	0.0	0.0	828.7	362.3	596.5	479.2	912.3	1270116.0	1020767.0	250554.588607	242724.207068	493278.795675	184700.0	179364.0	364064.0	54522.0	654561.795675	1140736.0	891387.0	1336978.0	0.914741	0.962895	34.0	25.0	59.0	1388498.549421	0.0
sub-2950754	15636.0	725.6	15811.1	70279.0	8645.5	4671.8	7530.7	2282.0	1023.6	2291.5	23945.1	4123.2	2228.2	285119.3	859.8	4650.6	0.0	0.0	13101.1	313.8	15284.5	70071.6	8458.6	4822.3	7148.2	2074.0	4929.3	2031.8	875.1	4798.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1060.3	565.9	656.4	845.5	880.6	1740791.0	1412537.0	339696.130198	341591.173227	681287.303426	260282.5	260650.5	520933.0	71964.0	896163.303426	1567570.0	1239316.0	1853396.0	0.914904	0.974085	26.0	21.0	47.0	1902704.11979	0.0
sub-1050345	5361.0	605.2	15958.6	66983.8	8262.1	4369.4	6362.8	1781.6	1012.6	3064.0	21541.1	4535.1	1846.0	308315.2	702.7	4405.9	0.0	0.0	5324.9	540.2	15630.4	68878.3	7489.4	4182.9	6025.7	1717.6	4671.6	2103.4	693.4	4309.3	0.0	0.0	0.0	16.4	0.0	0.0	0.0	0.0	0.0	0.0	785.0	301.0	374.2	363.4	721.1	1601839.0	1277708.0	304718.32027	297870.172554	602588.492824	232754.5	227607.5	460362.0	65655.0	807292.492824	1432354.0	1108223.0	1693431.0	0.937177	0.990764	42.0	23.0	65.0	1709217.929732	0.0
sub-3048588	4564.0	378.1	13781.5	55910.9	7744.1	3442.5	6475.1	1910.2	819.6	1434.6	19324.5	5319.6	1954.0	284864.7	803.5	4591.4	0.0	0.0	4594.3	384.7	13215.5	54092.1	7739.0	3878.4	6274.1	1854.0	5159.1	1901.1	751.7	4451.6	0.0	0.0	0.0	7.6	0.0	0.0	0.0	0.0	0.0	0.0	635.4	375.5	595.1	666.9	695.5	1484616.0	1184958.0	279426.28518	279178.952568	558605.237747	222214.0	220478.0	442692.0	66254.0	737888.237747	1345531.0	1045873.0	1616088.0	0.89622	0.975585	23.0	21.0	44.0	1656531.564508	0.0
sub-0015042	4292.3	360.2	12464.7	66202.5	7647.8	3469.2	6162.6	1665.9	588.8	1541.5	19723.2	4203.4	1892.3	247582.2	691.0	3909.0	0.0	0.0	3190.2	410.6	12812.0	65332.9	7579.7	3807.3	6017.4	1572.1	4290.5	1985.7	629.3	3918.5	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	1009.3	508.8	566.9	475.6	758.8	1356547.0	1086637.0	256665.546188	256871.45102	513536.997209	187745.5	186033.5	373779.0	61068.0	708657.997209	1197854.0	927944.0	1430961.0	0.940435	0.992023	7.0	15.0	22.0	1442467.506671	0.0
sub-0015021	4397.2	348.6	11424.1	56278.1	7905.9	3932.1	5777.0	1737.9	637.2	2254.3	16590.1	4213.6	1559.6	246216.0	630.4	3663.3	0.0	0.0	3041.1	371.7	10933.7	55826.3	7552.7	4086.1	5794.0	1701.0	4314.4	1784.1	636.6	3529.1	0.0	0.0	0.0	8.7	0.0	0.0	0.0	0.0	0.0	0.0	810.6	329.8	745.3	635.0	688.8	1388945.0	1122331.0	284104.69044	288467.785679	572572.476118	189191.5	189073.5	378265.0	60584.0	747658.476118	1252804.0	986190.0	1415850.0	0.9337	0.951786	9.0	6.0	15.0	1487571.714336	0.0
sub-0021021	13540.9	892.8	18604.5	64618.7	9025.6	4833.7	6299.9	1992.5	778.7	1631.5	24744.3	5508.2	2153.7	339675.1	717.8	4741.9	0.0	0.0	13271.5	772.0	17881.4	62681.3	9038.0	4958.4	6158.1	1957.5	5564.7	2134.6	706.9	4414.7	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1369.0	603.1	1052.4	607.4	1502.2	1802567.0	1429437.0	327158.416736	323032.098147	650190.514882	289996.0	290654.0	580650.0	72528.0	854029.514882	1635993.0	1262863.0	1850233.0	0.914842	0.939034	32.0	49.0	81.0	1970358.063935	0.0
sub-0010106	5696.6	495.3	14866.6	65397.1	6340.1	3667.6	5496.8	1792.8	697.4	2305.1	17418.3	4000.5	1389.2	238059.9	637.5	3468.3	0.0	0.0	5228.9	392.3	14711.4	62455.6	6202.2	3782.9	5371.3	1689.5	4310.8	1546.5	727.4	3551.9	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	816.4	456.1	682.9	475.9	907.2	1351820.0	1095515.0	265304.255834	264022.981567	529327.237401	187509.0	188715.0	376224.0	56289.0	716799.237401	1192119.0	935814.0	1431843.0	0.915557	0.969755	54.0	37.0	91.0	1476499.466927	0.0
sub-0021017	3896.7	472.6	14476.8	52013.2	6370.7	3708.8	5580.4	1535.3	780.5	1657.6	18315.9	3681.0	1579.9	278388.4	577.7	3333.9	0.0	0.0	4129.9	476.6	13561.4	51768.6	6040.4	3696.3	5521.8	1493.0	3608.9	1417.8	576.2	3225.8	0.0	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	695.3	353.1	460.2	399.7	695.1	1301618.0	1005598.0	241458.700351	240466.582602	481925.282953	175909.0	175588.0	351497.0	53975.0	643392.282953	1167151.0	871131.0	1367218.0	0.935489	0.982637	37.0	30.0	67.0	1391376.711812	0.0
sub-0021028	5064.5	650.0	11677.1	53844.6	6587.2	4119.2	6053.8	1714.5	682.3	1833.7	15183.9	3764.4	1568.0	246195.3	702.7	3163.0	0.0	0.0	3690.4	475.3	11425.0	54090.5	6606.8	4404.4	5741.4	1631.2	4024.6	1620.0	612.0	3171.8	0.0	0.0	0.0	5.1	0.0	0.0	0.0	0.0	0.0	0.0	797.9	406.2	710.9	397.4	1002.9	1366800.0	1103441.0	269455.711046	269214.816541	538670.527587	200460.5	201529.5	401990.0	57344.0	706313.527587	1234075.0	970716.0	1417348.0	0.929997	0.964391	62.0	47.0	109.0	1469681.542102	0.0
